"Lunghezza" "Massa_totale" "Massa_commestibile" "Specie"
"122" 286.926127589832 159 38.8520175969127 2
"123" 423.285684940479 145 40.6281570335869 2
"124" 166.510418806063 54 25.06263741835 2
"125" 124.675418645654 129 30.672407929281 2
"126" 320.403400263149 104 35.0997690437453 2
"127" 79.3098951750547 66 30.0329947943148 2
"128" 179.314033335687 24 19.7221308403509 2
"129" 175.696695620043 19 21.2736735296348 2
"130" 87.714288580832 10 12.9631179332062 2
"131" 149.964996757266 36 22.6497026249934 2
"132" 82.32862868309 18 17.6354234692721 2
"133" 21.3249858982071 20 23.9634209922021 2
"134" 153.500683167802 133 34.450984994618 2
"135" 164.530065477841 179 39.8506526309337 2
"136" 157.500508060646 69 30.2384674108062 2
"137" 249.828528261673 59 26.2763866135656 2
"138" 134.575825946482 120 31.8916792580531 2
"139" 142.770974917871 72 33.1401522842781 2
"140" 241.759014146605 74 31.5106996207831 2
"141" 225.754494950263 27 18.8213523719176 2
"142" 136.798348729346 52 24.7687811494361 2
"143" 355.223223990112 76 25.8745025468766 2
"144" 170.739790915758 25 22.5777031135995 2
"145" 357.256047412542 125 36.4087310944205 2
"146" 379.670529941172 138 38.6284857356123 2
"147" 270.824593830203 191 46.0880907515498 2
"148" 47.6358337910454 148 36.4336428418796 2
"149" 139.067948070973 90 33.6525765209496 2
"150" 272.207302594162 120 34.1000401541061 2
"151" 276.608277950965 203 50.6745069757699 2
"152" 220.846921364862 64 29.2299993005683 2
"153" 214.319080962727 124 35.9196609184478 2
"154" 187.917553357626 153 38.9215976313126 2
"155" 386.631339874589 151 32.07630361706 2
"156" 65.1706989379651 68 28.2744776872151 2
"157" 267.487302297814 51 25.7963327831858 2
"158" 14.0256244804443 19 21.5503903103014 2
"159" 164.388225790227 88 28.4135891274957 2
"160" 234.6095694863 53 25.7682127312116 2
"161" 82.9264316051783 61 24.9289821156335 2
"162" 282.051992272273 133 37.4498551821498 2
"163" 359.574770135004 68 29.3143525734458 2
"164" 165.253577434765 64 31.4720692092897 2
