"v1" "v2" "v3" "v4" "v5" "v6" "v7" "v8"
"163" 11.7521920723759 11.4235341603698 6.30481459572911 1 16.3563443820372 26.9559339737197 8.7575791333802 0
"158" 10.5310734947097 11.2328456442573 4.57052378938533 1 16.7289712414422 29.9592005690638 9.33416403178126 0
"115" 13.7965011184716 11.1524471333549 9.61623739567585 1 19.8748234516957 24.9625090326558 10.0708857204299 0
"113" 9.0130707264721 13.1524254218152 4.39434022689238 1 16.7430998320929 26.5429975272469 7.97896818537265 0
"175" 15.5600986572636 11.8721856439349 10.5717609450221 1 18.3528876005075 21.9317846400421 10.0437362964731 0
"168" 13.8143976593279 14.2576724983464 8.13366092089564 1 16.7668071374068 24.4412618326304 7.16833775001578 0
"136" 13.6436042359289 13.4195117468742 7.7911973441951 1 19.1216564968363 24.9655419941106 10.4362891449127 0
"173" 16.3351734639166 13.2214764011419 8.74170691426843 1 17.2321617421641 28.02935252987 8.68277687998489 0
"79" 10.5482914149552 12.6371996681932 5.1468106599059 1 13.5958444116023 9.99736004985008 8.80018262146041 1
"85" 15.4725374928189 10.9028980634238 8.8614030960016 1 16.4699226840448 31.9848269273463 7.46506103733554 0
"144" 11.3857185622465 12.5368295377651 4.62183625157923 1 12.3493105254347 24.3226202121596 5.40424939221703 0
"88" 14.1399047755598 10.2492342375894 8.50793419033289 1 15.8810865656281 26.7193536082915 5.15609329938889 0
"114" 13.6181888139025 9.8871478735471 9.88488488714211 1 16.6713335867673 18.3032836909087 5.23074942361563 0
"170" 13.8209300627485 10.3855493574649 6.24559818673879 1 15.7753685805672 25.0949162267275 7.6975082885474 0
"73" 10.8807579704405 15.2358727325477 5.3619616383221 1 11.9363379153508 10.9107095331487 6.08315884997137 1
"84" 10.4947303809271 8.46750640411552 5.08830332942307 1 14.3434049692014 22.4772459252541 6.03471124963835 0
"145" 12.0431509841288 10.5901846253231 6.73809713777155 1 19.2420214615432 24.8664121374302 10.6195181445219 0
"142" 15.5718220989072 14.6540311360713 8.9099088285584 1 17.9650338854808 26.8325391979568 9.04859896632843 0
"105" 13.2350515691046 12.6418419040668 7.00798026821576 1 19.2639223599812 18.9907695712797 10.454090423882 0
"86" 14.9284646125826 17.836664100551 9.0773826346267 1 17.7912237432267 23.3903198754021 10.5701418269891 0
"134" 14.2044670533978 11.3658597896154 8.84348776261322 1 14.0510402849928 21.9526990956259 5.61195713817142 0
"48" 14.2895655706876 12.156730537991 6.51466132001951 1 7.33829043560283 15.8401745444761 4.70855288906023 1
"106" 12.3430878863923 8.29045108338174 5.97632527840324 1 15.091564380755 26.9568767560208 6.21227035438642 0
"30" 16.7430513743731 13.2611443203001 9.63163472758606 1 14.1399047755598 10.2492342375894 8.50793419033289 1
"125" 16.3397687893272 15.8752280405035 10.3024689205922 1 15.0461953422793 24.5921465408057 5.81496023223735 0
"156" 9.85917793973099 10.5817509502432 5.25313116097823 1 16.0713314279441 27.7252060336466 8.26130535267293 0
"72" 11.5000174852435 15.8701524895184 4.98087041964754 1 13.5121333394463 12.8296989586612 6.25249038869515 1
"162" 16.1950448481002 12.168376961612 7.35064948676154 1 19.5719075167222 23.5020945293972 10.0121551721822 0
"93" 16.9887518901589 6.63965589501599 10.3893755716272 1 13.2656189271864 28.0148098733551 4.12956020049751 0
"33" 7.33829043560283 15.8401745444761 4.70855288906023 1 10.8807579704405 15.2358727325477 5.3619616383221 1
"7" 15.8689683064832 15.3715696684393 9.74889161810279 1 16.1643427571913 17.1708169386361 10.3331264322624 1
"29" 17.2133129809258 13.8595580407815 9.82217419985682 1 11.3857185622465 12.5368295377651 4.62183625157923 1
"21" 12.3714854855433 15.5696117220023 6.84376363665797 1 13.7965011184716 11.1524471333549 9.61623739567585 1
"132" 10.198469477389 12.5100182997673 5.26900650281459 1 19.2642698799443 21.6144019986008 9.02270697848871 0
"98" 14.7305954049967 10.7444925521168 8.54378620279022 1 19.3965507175399 21.7795444578745 10.9842715892009 0
"130" 9.21352335149997 14.6992024718569 5.4504718768876 1 17.8694222011349 22.5783117416204 9.61076854169369 0
"102" 14.4216700753013 13.6775770442581 8.90486413869075 1 16.9078403739941 25.9309163189453 7.66329346224666 0
"131" 9.90955677181096 14.827879284533 5.12514825258404 1 16.3412190605077 24.7841917865463 8.54845222970471 0
"139" 17.1086966390266 12.7300648374518 9.63610947295092 1 11.8865407776639 24.3404016312243 4.14944655820727 0
"74" 12.1531996208378 14.5163799619279 5.49185584485531 1 11.1166805624667 13.8848102641638 4.24666818953119 1
"5" 10.9810309983228 17.6636117856887 4.1907254178077 1 7.41028525879528 16.7354674680949 4.09537216671742 1
"32" 14.3531632233513 13.3804952933863 5.29765105992556 1 13.8209300627485 10.3855493574649 6.24559818673879 1
"148" 11.907553100259 10.6529613962031 6.09134585317224 1 20.3247219933406 31.2466250280261 10.5895639092196 0
"116" 10.2527162992242 20.2190791716219 6.1008723161649 1 14.3273326058602 23.6308067508299 6.71171688358299 0
"103" 9.7664318649408 12.8363911433778 5.37124412460253 1 15.7969127292343 26.9903434546562 5.9844963371288 0
"82" 10.4767407993979 7.3493778868271 5.08324734005146 1 15.3823903707019 14.1464888703014 7.90883453888819 1
"178" 12.7663461059353 14.8161344709256 7.44344698009081 1 16.3508094308695 28.648682599865 6.53054424701259 0
"137" 15.8459279119564 18.2805444504842 9.08249854575843 1 20.5521413397611 24.1522115892266 10.2147884157021 0
"108" 12.7024841014704 10.8270953384932 8.60612814128399 1 13.8369542561419 22.1802111174278 5.56051694089547 0
"65" 13.1130052874048 9.9742181997369 5.8780651667621 1 12.7663461059353 14.8161344709256 7.44344698009081 1
"169" 14.4202371240658 11.3763746328844 9.58710050256923 1 17.7638776307019 25.2934396367018 9.43576981686056 0
"121" 15.9273498413647 15.4632049817665 10.6287221992388 1 14.7579096712385 32.5875663422764 6.84781784424558 0
"44" 11.7674589384259 14.5604281875456 5.75528378039598 1 9.85917793973099 10.5817509502432 5.25313116097823 1
"35" 13.5121333394463 12.8296989586612 6.25249038869515 1 12.0431509841288 10.5901846253231 6.73809713777155 1
"179" 11.9363379153508 10.9107095331487 6.08315884997137 1 19.1645022072205 27.8457564039966 10.1673714139033 0
"171" 11.1166805624667 13.8848102641638 4.24666818953119 1 17.7260588781084 26.7474469449627 8.04975714930333 0
"27" 8.37708025413388 16.5583857494113 4.30214294535108 1 10.5482914149552 12.6371996681932 5.1468106599059 1
"42" 13.0713573917306 13.669719550883 6.93501168000512 1 16.7430513743731 13.2611443203001 9.63163472758606 1
"159" 11.0944225066449 11.1336835977529 4.74416661448777 1 16.2469664026967 22.9008180599394 8.04002954764292 0
"58" 15.5945931285381 14.558848812449 7.95553350634873 1 12.1531996208378 14.5163799619279 5.49185584485531 1
"22" 13.5958444116023 9.99736004985008 8.80018262146041 1 9.0130707264721 13.1524254218152 4.39434022689238 1
"78" 14.3325469272059 14.4046954462336 9.17319685267285 1 15.5945931285381 14.558848812449 7.95553350634873 1
"92" 12.4576335279748 13.0056789272182 8.71178909880109 1 18.6183494167805 22.1164038428259 7.7874978298787 0
"41" 15.3823903707019 14.1464888703014 7.90883453888819 1 12.3430878863923 8.29045108338174 5.97632527840324 1
"107" 14.8871673576231 23.3829553360063 5.94576686108485 0 15.3400111155765 26.6681742608842 6.42690331907943 0
"180" 14.3434049692014 22.4772459252541 6.03471124963835 0 18.7511378558046 28.6859985519693 10.4054919451009 0
"99" 16.4699226840448 31.9848269273463 7.46506103733554 0 19.3627253561529 29.439329813878 9.63843007129617 0
"118" 17.7912237432267 23.3903198754021 10.5701418269891 0 13.2363434894503 26.1146334134331 6.06156146898866 0
"43" 14.7291455675785 21.3064137131781 5.49358440982178 0 16.3397687893272 15.8752280405035 10.3024689205922 1
"18" 15.8810865656281 26.7193536082915 5.15609329938889 0 17.5054391237504 15.8633149437339 9.53846622817218 1
"60" 18.5423794616692 22.639997212834 9.2165770761203 0 14.3531632233513 13.3804952933863 5.29765105992556 1
"16" 13.01845182858 20.6819046319545 4.06087856716476 0 9.5303888948329 13.2369809030384 5.49485687119886 1
"61" 18.868909693119 28.8069866981775 9.14938943018205 0 11.907553100259 10.6529613962031 6.09134585317224 1
"37" 18.6183494167805 22.1164038428259 7.7874978298787 0 13.2350515691046 12.6418419040668 7.00798026821576 1
"111" 13.2656189271864 28.0148098733551 4.12956020049751 0 16.3675535139387 27.7274512894061 9.02304100245237 0
"52" 12.9559205376646 23.5705360247591 5.17996244947426 0 10.198469477389 12.5100182997673 5.26900650281459 1
"51" 17.9649355487049 26.7392853751814 8.30835751397535 0 12.3714854855433 15.5696117220023 6.84376363665797 1
"13" 11.9957629141501 24.1422273524419 4.12055046856403 0 16.3241656698412 8.58511980873885 10.9982049760874 1
"80" 18.6891324424435 29.1795998598152 10.5247902336996 0 14.3325469272059 14.4046954462336 9.17319685267285 1
"40" 19.3965507175399 21.7795444578745 10.9842715892009 0 14.2895655706876 12.156730537991 6.51466132001951 1
"152" 19.3627253561529 29.439329813878 9.63843007129617 0 15.939237172474 27.2132211723062 7.34721011365764 0
"184" 14.8400267338382 23.3934636484339 4.56630714633502 0 16.6018771840977 23.0257665830083 8.23392236651853 0
"96" 20.1417342240015 23.8749941434166 10.3780195147265 0 11.9957629141501 24.1422273524419 4.12055046856403 0
"146" 16.9078403739941 25.9309163189453 7.66329346224666 0 14.6082057971401 25.9756804928056 5.44788993778639 0
"89" 15.7969127292343 26.9903434546562 5.9844963371288 0 18.5423794616692 22.639997212834 9.2165770761203 0
"46" 16.7927071904424 24.8398778580629 9.51146594528109 0 16.1950448481002 12.168376961612 7.35064948676154 1
"10" 19.2639223599812 18.9907695712797 10.454090423882 0 15.2354843386752 10.1876382729832 8.42907862574793 1
"15" 15.091564380755 26.9568767560208 6.21227035438642 0 12.8635632581854 9.75016490187734 7.91803965787403 1
"153" 15.3400111155765 26.6681742608842 6.42690331907943 0 16.1821938294623 26.4771704048142 8.25120010995306 0
"135" 13.8369542561419 22.1802111174278 5.56051694089547 0 16.977890879151 23.6480390154743 10.2314030283596 0
"181" 15.4329859123554 29.0089598724212 6.9215852485504 0 15.7192700527605 24.9074472713291 8.77673298073933 0
"1" 13.6772621874444 28.5717471637273 4.8855714185629 0 11.3979368759294 11.4269066922469 5.30039798677899 1
"11" 16.3675535139387 27.7274512894061 9.02304100245237 0 11.0917594744432 10.7147002900081 4.90318498690613 1
"165" 12.6626388597934 30.0618289565057 4.60900176223367 0 19.4476553552584 21.2749530434655 8.57952599273995 0
"167" 16.7430998320929 26.5429975272469 7.97896818537265 0 12.6140684693685 20.9439397315869 5.00176269235089 0
"39" 16.6713335867673 18.3032836909087 5.23074942361563 0 14.2044670533978 11.3658597896154 8.84348776261322 1
"8" 19.8748234516957 24.9625090326558 10.0708857204299 0 12.8845084142039 15.0747533698341 7.56617656443268 1
"53" 14.3273326058602 23.6308067508299 6.71171688358299 0 14.7305954049967 10.7444925521168 8.54378620279022 1
"97" 13.0551087901454 23.947260791462 4.01801058952697 0 18.6891324424435 29.1795998598152 10.5247902336996 0
"3" 13.2363434894503 26.1146334134331 6.06156146898866 0 9.60240139921004 8.65034070875441 5.22586160502397 1
"69" 18.2516695264423 25.1058778351384 8.1266658809036 0 14.4202371240658 11.3763746328844 9.58710050256923 1
"127" 17.8312279967513 25.5153739496203 8.11985890031792 0 17.1820560133728 29.0664220132087 7.52946683275513 0
"157" 14.7579096712385 32.5875663422764 6.84781784424558 0 18.2215245664454 30.2929022055564 8.53406546264887 0
"64" 16.1001547739212 23.2800335559827 6.74598723603413 0 10.4767407993979 7.3493778868271 5.08324734005146 1
"177" 14.9281478172805 28.8341675748482 5.37788841710426 0 18.2377609985124 22.2280071531248 8.13558649457991 0
"76" 20.3773164661891 27.3334897806607 10.4706438060384 0 13.0713573917306 13.669719550883 6.93501168000512 1
"68" 15.0461953422793 24.5921465408057 5.81496023223735 0 13.1130052874048 9.9742181997369 5.8780651667621 1
"4" 20.6293540053963 29.4337204995778 10.532261779299 0 12.4842241863859 9.11203995211257 7.63893431494944 1
"26" 17.1820560133728 29.0664220132087 7.52946683275513 0 16.3351734639166 13.2214764011419 8.74170691426843 1
"101" 16.5872927399781 26.9564183762771 7.32186504919082 0 20.1417342240015 23.8749941434166 10.3780195147265 0
"104" 19.1948416228492 29.036942275766 9.60613877163269 0 16.7927071904424 24.8398778580629 9.51146594528109 0
"94" 17.8694222011349 22.5783117416204 9.61076854169369 0 12.9559205376646 23.5705360247591 5.17996244947426 0
"2" 16.3412190605077 24.7841917865463 8.54845222970471 0 16.7420023380031 13.2797831070485 9.21691090776585 1
"166" 19.2642698799443 21.6144019986008 9.02270697848871 0 14.0834979702901 24.9070141923215 5.75107138138264 0
"54" 17.1502080771013 26.1882302189989 8.93836542894132 0 9.21352335149997 14.6992024718569 5.4504718768876 1
"128" 14.0510402849928 21.9526990956259 5.61195713817142 0 16.5872927399781 26.9564183762771 7.32186504919082 0
"164" 16.977890879151 23.6480390154743 10.2314030283596 0 18.2292259723787 25.5196732762363 9.67590681649745 0
"83" 19.1216564968363 24.9655419941106 10.4362891449127 0 14.8871673576231 23.3829553360063 5.94576686108485 0
"147" 20.5521413397611 24.1522115892266 10.2147884157021 0 17.8881222133893 26.3670872138564 7.39717198442668 0
"67" 20.2950800996465 18.4250875872881 10.4036553984042 0 12.7024841014704 10.8270953384932 8.60612814128399 1
"160" 11.8865407776639 24.3404016312243 4.14944655820727 0 15.8232731960464 24.3542256551422 4.78233127994463 0
"12" 14.597583744274 26.0418027354798 4.8450204259716 0 12.9681302654836 12.1549448244811 6.55837926547974 1
"129" 17.6392807504586 20.5316126438024 8.89152474584989 0 19.1948416228492 29.036942275766 9.60613877163269 0
"143" 17.9650338854808 26.8325391979568 9.04859896632843 0 19.0839916676016 20.5844765924213 8.3362399355974 0
"119" 19.0839916676016 20.5844765924213 8.3362399355974 0 18.2516695264423 25.1058778351384 8.1266658809036 0
"19" 12.3493105254347 24.3226202121596 5.40424939221703 0 11.7521920723759 11.4235341603698 6.30481459572911 1
"100" 19.2420214615432 24.8664121374302 10.6195181445219 0 14.8400267338382 23.3934636484339 4.56630714633502 0
"49" 14.6082057971401 25.9756804928056 5.44788993778639 0 15.8689683064832 15.3715696684393 9.74889161810279 1
"81" 17.8881222133893 26.3670872138564 7.39717198442668 0 12.4576335279748 13.0056789272182 8.71178909880109 1
"70" 20.3247219933406 31.2466250280261 10.5895639092196 0 15.9273498413647 15.4632049817665 10.6287221992388 1
"110" 16.0730348392878 24.228993067464 7.58822845993564 0 13.6772621874444 28.5717471637273 4.8855714185629 0
"57" 15.5825036377648 26.3359861952746 4.5618524835445 0 17.1086966390266 12.7300648374518 9.63610947295092 1
"71" 14.3031370856815 20.4122538648701 4.57148893130943 0 11.7674589384259 14.5604281875456 5.75528378039598 1
"17" 15.939237172474 27.2132211723062 7.34721011365764 0 14.5723514918462 12.5310913777571 7.61734017729759 1
"120" 16.1821938294623 26.4771704048142 8.25120010995306 0 17.8312279967513 25.5153739496203 8.11985890031792 0
"75" 14.3736074208163 27.268789738732 6.6540954860393 0 8.37708025413388 16.5583857494113 4.30214294535108 1
"6" 13.9026284887127 22.2278425646949 5.64749279222451 0 14.0646497647683 10.3975460409799 8.42875597462989 1
"149" 16.0713314279441 27.7252060336466 8.26130535267293 0 16.0730348392878 24.228993067464 7.58822845993564 0
"183" 18.2215245664454 30.2929022055564 8.53406546264887 0 16.1103127779674 27.2088080323699 8.71900316956453 0
"123" 16.7289712414422 29.9592005690638 9.33416403178126 0 14.9281478172805 28.8341675748482 5.37788841710426 0
"122" 16.2469664026967 22.9008180599394 8.04002954764292 0 16.1001547739212 23.2800335559827 6.74598723603413 0
"38" 15.8232731960464 24.3542256551422 4.78233127994463 0 14.9284646125826 17.836664100551 9.0773826346267 1
"55" 18.3252760726822 25.2180322379678 8.9698935484048 0 14.4216700753013 13.6775770442581 8.90486413869075 1
"140" 19.5719075167222 23.5020945293972 10.0121551721822 0 14.597583744274 26.0418027354798 4.8450204259716 0
"34" 16.3563443820372 26.9559339737197 8.7575791333802 0 10.4947303809271 8.46750640411552 5.08830332942307 1
"14" 18.2292259723787 25.5196732762363 9.67590681649745 0 10.4818700438707 12.4333042636051 5.73429784877226 1
"91" 19.4476553552584 21.2749530434655 8.57952599273995 0 18.868909693119 28.8069866981775 9.14938943018205 0
"172" 14.0834979702901 24.9070141923215 5.75107138138264 0 17.3771509739441 26.1971532276463 8.82586734578945 0
"36" 12.6140684693685 20.9439397315869 5.00176269235089 0 15.5718220989072 14.6540311360713 8.9099088285584 1
"59" 16.7668071374068 24.4412618326304 7.16833775001578 0 10.9810309983228 17.6636117856887 4.1907254178077 1
"176" 17.7638776307019 25.2934396367018 9.43576981686056 0 19.9428583488527 28.3875581754814 10.4406254310161 0
"182" 15.7753685805672 25.0949162267275 7.6975082885474 0 15.0522159193424 24.9203039254979 7.85311721614562 0
"56" 17.7260588781084 26.7474469449627 8.04975714930333 0 9.90955677181096 14.827879284533 5.12514825258404 1
"126" 17.3771509739441 26.1971532276463 8.82586734578945 0 20.6293540053963 29.4337204995778 10.532261779299 0
"31" 17.2321617421641 28.02935252987 8.68277687998489 0 13.6181888139025 9.8871478735471 9.88488488714211 1
"150" 13.3940484068672 26.1349423989066 5.18863859260455 0 15.5825036377648 26.3359861952746 4.5618524835445 0
"138" 18.3528876005075 21.9317846400421 10.0437362964731 0 20.2950800996465 18.4250875872881 10.4036553984042 0
"20" 19.9428583488527 28.3875581754814 10.4406254310161 0 10.5310734947097 11.2328456442573 4.57052378938533 1
"47" 18.2377609985124 22.2280071531248 8.13558649457991 0 16.9887518901589 6.63965589501599 10.3893755716272 1
"66" 16.3508094308695 28.648682599865 6.53054424701259 0 15.8459279119564 18.2805444504842 9.08249854575843 1
"109" 19.1645022072205 27.8457564039966 10.1673714139033 0 15.4329859123554 29.0089598724212 6.9215852485504 0
"154" 18.7511378558046 28.6859985519693 10.4054919451009 0 14.3736074208163 27.268789738732 6.6540954860393 0
"174" 15.7192700527605 24.9074472713291 8.77673298073933 0 13.3940484068672 26.1349423989066 5.18863859260455 0
"124" 15.0522159193424 24.9203039254979 7.85311721614562 0 20.3773164661891 27.3334897806607 10.4706438060384 0
"95" 16.1103127779674 27.2088080323699 8.71900316956453 0 17.9649355487049 26.7392853751814 8.30835751397535 0
"45" 16.6018771840977 23.0257665830083 8.23392236651853 0 11.5000174852435 15.8701524895184 4.98087041964754 1
"141" 15.481754393509 32.0283616989485 6.24409496318549 0 17.6392807504586 20.5316126438024 8.89152474584989 0
